"ASV","treatment","Est","pval","pval.holm","SE","t.val","sampletype","week"
"ASV378","lg",-0.935511007133918,0.510826633320496,0.993158799777119,2.47372600026709,-0.40824214555694,"feces","Week 2"
"ASV379","cdiff",-0.274719338326437,0.515733732375889,1,2.33126992286054,-0.12053261462221,"feces","Week 2"
"ASV379","Intercept",-2.95666039653326,0.181177955016762,0.971342003155641,1.64845677123093,-1.86949757278509,"feces","Week 2"
"ASV379","la",-0.196989235839036,0.522420470950484,1,2.33126992286054,-0.0597110621810008,"feces","Week 2"
"ASV379","lg",0.663763572016332,0.533619868947885,1,2.33126992286054,0.340415823352082,"feces","Week 2"
"ASV38","cdiff",-0.665657335701728,0.731832810241639,1,2.02285078253457,-0.354136384522302,"feces","Week 2"
"ASV38","Intercept",6.25756695410503,0.00369145332258351,0.310575635879327,1.43037150565871,4.67169637010313,"feces","Week 2"
"ASV38","la",-9.31116415612875,0.00378889663229449,0.282055967467905,2.02285078253457,-4.85893016748061,"feces","Week 2"
"ASV38","lg",-4.08181026626208,0.0709741967529122,1,2.02285078253457,-2.07090869285308,"feces","Week 2"
"ASV388","cdiff",1.74302921422222,0.443236245366357,0.992685727766949,2.39575414164209,0.838727885207254,"feces","Week 2"
"ASV388","Intercept",-3.07703940171589,0.191470780849122,0.95210560439011,1.69405399961088,-1.89524415393263,"feces","Week 2"
"ASV388","la",0.28944588071961,0.524155466486799,1,2.39575414164209,0.116530620984837,"feces","Week 2"
"ASV388","lg",-0.748342998044201,0.505850143948763,1,2.39575414164209,-0.323056176796139,"feces","Week 2"
"ASV389","cdiff",-0.53484804920635,0.498250304992213,0.986211430864051,2.08878901777931,-0.313368610482157,"feces","Week 2"
"ASV389","Intercept",-2.73502361741946,0.195685188804119,0.972155085005649,1.47699687893974,-1.86244618317037,"feces","Week 2"
"ASV389","la",3.51661508264522,0.197614180249759,0.989200047051125,2.08878901777931,1.77806224465038,"feces","Week 2"
"ASV389","lg",-0.763003637660787,0.512356605871294,0.986482307861079,2.08878901777931,-0.441503529517114,"feces","Week 2"
"ASV39","cdiff",9.29756790496733,5.83689936712789e-05,0.0165095769376943,1.20946617970956,8.28822146245288,"feces","Week 2"
"ASV39","Intercept",-2.59494099844319,0.0737363225960133,0.764346756758248,0.855221737288421,-3.05138021987678,"feces","Week 2"
"ASV39","la",11.4332192003594,1.17049970255412e-05,0.00339340301606614,1.20946617970956,10.239294017442,"feces","Week 2"
"ASV39","lg",9.95678741935626,3.33711152616647e-05,0.00883299580830258,1.20946617970956,8.88680953010708,"feces","Week 2"
"ASV391","cdiff",-1.16000615203158,0.503856981266279,1,2.25677821558148,-0.588822470543724,"feces","Week 2"
"ASV391","Intercept",-1.68363560059681,0.414253091953132,1,1.59578317987174,-0.988908338967806,"feces","Week 2"
"ASV391","la",-1.36793505711534,0.446665630523312,0.998494419066494,2.25677821558148,-0.710250007761669,"feces","Week 2"
